WENSS-WNB1222,0+46-12+24+29+46+8+11-0,047-0,00414-FRII-0,723789775111703
WENSS-WNB1222,0+46-12+24+31+46+22+45-0,026-0,00406-FRII-0,747290725517786
WENSS-WNB1222,1+44-12+24+35+44+33+12-0,124-0,013-FRII-0,681330074798193
WENSS-WNB1222,1+44-12+24+35+44+11+6-0,107-0,00565-FRII-0,651904515046039
WENSS-WNB1222,2+46-12+24+40+45+55+19-0,081-0,064-FRII-0,722407366264287
WENSS-WNB1222,2+44-12+24+43+44+24+38-0,025-0,0074-Undefined-0,671653212866277
WENSS-WNB1222,3+45-12+24+45+45+27+5-0,013-0,00293-FRI-0,706410921029894
WENSS-WNB1222,6+45-12+25+7+45+30+47-0,017-0,0088-FRII-0,719050087634846
WENSS-WNB1222,6+45-12+25+7+45+5+23-0,021-0,00701-Undefined-0,737021402651263
WENSS-WNB1222,7+45-12+25+12+45+23+28-0,369-0,09592-FRI-0,698708928880002
WENSS-WNB1222,7+45-12+25+12+45+42+12-0,07-0,07-FRII-0,711743069441359
WENSS-WNB1222,8+46-12+25+16+46+22+9-0,063-0,063-FRI-0,735046532869239
WENSS-WNB1222,8+46-12+25+21+45+58+16-0,042-0,0219-Undefined-0,734059097978227
WENSS-WNB1222,9+45-12+25+24+45+15+4-1,294-0,19755-FRII-0,71687773087462
WENSS-WNB1223,0+45-12+25+29+45+31+31-0,169-0,03012-FRI-0,724777210002715
WENSS-WNB1223,1+46-12+25+33+46+3+57-0,048-0,003-Undefined-0,752227899972845
WENSS-WNB1223,1+44-12+25+34+44+25+20-0,023-0,0048-FRII-0,68606976227505
WENSS-WNB1223,1+45-12+25+35+45+41+1-0,038-0,038-Undefined-0,727542027697549
WENSS-WNB1223,1+45-12+25+37+44+48+38-0,106-0,00601-FRI-0,727344540719346
WENSS-WNB1223,4+45-12+25+54+44+56+21-1,521-0,23819-FRII-0,738996272433286
WENSS-WNB1223,4+45-12+25+56+45+38+50-0,066-0,0161-FRI-0,741366116171715
WENSS-WNB1223,5+46-12+26+0+45+51+53-0,377-0,08216-FRII-0,740576168258905
WENSS-WNB1223,7+45-12+26+8+44+55+20-0,021-0,021-Undefined-0,74432842084475
WENSS-WNB1223,7+46-12+26+9+45+58+55-0,091-0,0276-FRI-0,769606754054654
WENSS-WNB1223,9+45-12+26+20+45+37+27-0,015-0,006-FRII-0,744525907822953
WENSS-WNB1224,0+45-12+26+28+45+4+14-0,028-0,008062-Undefined-0,746303290626774
WENSS-WNB1224,0+46-12+26+31+45+57+46-0,041-0,00538-FRII-0,754005282776667
WENSS-WNB1224,2+46-12+26+43+46+16+31-0,046-0,02-Undefined-0,708583277790121
WENSS-WNB1224,2+45-12+26+43+44+51+22-0,044-0,010686-FRI-0,78086351181219
WENSS-WNB1224,2+45-12+26+43+45+31+54-0,036-0,036-FRII-0,744723394801155
WENSS-WNB1224,4+45-12+26+50+45+41+5-0,015-0,015-Undefined-0,743933446888346
WENSS-WNB1224,4+44-12+26+51+43+43+27-0,017-0,0444-FRI-0,692586832555728
WENSS-WNB1224,4+44-12+26+55+44+5+6-0,078-0,00407-Undefined-0,831420178231998
WENSS-WNB1224,5+43-12+26+57+43+40+56-0,218-0,175-Undefined-0,721617418351477
WENSS-WNB1224,5+44-12+26+59+44+14+37-0,039-0,039-FRII-0,74926559529981
WENSS-WNB1224,7+44-12+27+10+44+7+38-0,121-0,01519-Undefined-0,861240711940556
WENSS-WNB1224,8+44-12+27+19+43+58+11-0,08-0,0284-FRI-0,846429188575378
WENSS-WNB1224,9+46-12+27+20+45+43+36-0,023-0,00103-FRII-0,720235009504061
WENSS-WNB1225,0+44-12+27+32+44+21+28-0,059-0,0281-Undefined-0,768026858229035
WENSS-WNB1225,1+45-12+27+34+44+58+31-0,328-0,09619-FRI-0,797254931002987
WENSS-WNB1225,2+44-12+27+42+44+0+38-1,211-1,68-FRII-0,865782912439211
WENSS-WNB1225,2+45-12+27+43+45+4+55-0,076-0,02151-FRII-0,764077118664988
WENSS-WNB1225,4+44-12+27+56+43+59+56-0,046-0,0126-Undefined-0,87822459206596
WENSS-WNB1225,5+46-12+27+57+45+55+1-0,039-0,039-FRI-0,71687773087462
WENSS-WNB1225,5+44-12+28+1+43+50+59-0,032-0,0101-FRII-0,803574514305463
WENSS-WNB1225,7+45-12+28+10+44+46+6-0,043-0,01042-Undefined-0,856303537485497
WENSS-WNB1225,7+44-12+28+11+44+6+58-0,075-0,0324-FRI-0,915549630946209
WENSS-WNB1225,7+44-12+28+11+44+5+32-0,163-0,0499-FRII-0,913772248142388
WENSS-WNB1225,8+46-12+28+16+46+20+6-0,078-0,018-FRI-0,672640647757288
WENSS-WNB1226,2+46-12+28+37+46+2+28-0,062-0,011-Undefined-0,713125478288775
WENSS-WNB1226,4+45-12+28+50+44+47+18-0,947-0,2383-FRI-0,879607000913377
WENSS-WNB1226,5+44-12+28+56+44+20+26-0,145-0,145-Undefined-0,83497494383964
