WENSS-WNB1230,1+44-12+32+31+44+8+47-0,5-0,00354-FRI-0
WENSS-WNB1230,1+44-12+32+32+44+9+17-0,048-0,1324-FRI-0
WENSS-WNB1230,1+44-12+32+33+44+12+27-0,012-0,0114-FRI-0
WENSS-WNB1230,1+46-12+32+34+45+46+3-0,033-0,0151-FRI-0
WENSS-WNB1230,1+45-12+32+35+44+46+12-0,024-0,0067-FRI-0
WENSS-WNB1230,2+46-12+32+39+46+21+38-0,133-0,00198-FRI-0
USS_D-WNJ1232+4621-12+32+39+46+21+48-0,133-0,00198-FRI-0
USS_D-WNJ1232+4621-12+32+39+46+21+48-0,0198-0,00198-FRI-0
WENSS-WNB1230,4+44-12+32+49+43+55+44-0,069-0,0233-FRI-0
WENSS-WNB1230,4+46-12+32+51+45+54+59-0,24-0,01233-FRI-0
WENSS-WNB1230,4+45-12+32+53+45+42+10-0,182-0,023-FRI-0
WENSS-WNB1230,4+45-12+32+57+45+42+4-0,059-0,01055-FRI-0
WENSS-WNB1230,7+45-12+33+6+45+28+59-0,542-0,02314-FRI-0
WENSS-WNB1230,8+43-12+33+14+43+39+11-0,633-0,2126-FRI-0
WENSS-WNB1230,8+45-12+33+16+45+26+14-0,015-0,0046-FRI-0
WENSS-WNB1231,1+43-12+33+32+43+38+46-0,076-0,009-FRI-0
WENSS-WNB1231,3+45-12+33+43+45+27+18-0,303-0,0839-FRI-0
WENSS-WNB1231,3+46-12+33+44+45+48+33-0,15-0,0402-FRI-0
WENSS-WNB1231,5+45-12+33+56+45+23+2-0,041-0,0119-FRI-0
WENSS-WNB1231,6+45-12+34+0+45+36+51-0,038-0,0129-FRI-0
WENSS-WNB1231,6+43-12+34+2+43+37+39-0,025-0,01-FRI-0
WENSS-WNB1231,6+44-12+34+2+44+4+45-0,482-0,482-FRI-0
WENSS-WNB1231,6+44-12+34+2+44+4+36-0,525-0,482-FRI-0
WENSS-WNB1231,6+44-12+34+2+44+2+18-0,042-0,00805-FRI-0
WENSS-WNB1231,7+45-12+34+10+45+10+59-0,015-0,015-FRI-0
WENSS-WNB1232,1+45-12+34+30+45+6+35-0,019-0,019-FRI-0
WENSS-WNB1232,1+46-12+34+32+45+52+2-0,313-0,108073-FRI-0
WENSS-WNB1232,3+44-12+34+45+44+5+22-0,129-0,022-FRI-0
WENSS-WNB1232,4+45-12+34+51+45+33+44-0,292-0,0713-FRI-0
WENSS-WNB1232,4+44-12+34+53+44+26+58-1,265-0,3129-FRI-0
WENSS-WNB1232,5+43-12+34+57+43+37+15-0,027-0,027-FRI-0
WENSS-WNB1232,6+44-12+35+0+44+29+47-0,022-0,0119-FRI-0
WENSS-WNB1232,6+45-12+35+2+44+48+57-0,016-0,00926-FRI-0
WENSS-WNB1232,6+44-12+35+2+44+34+10-0,014-0,0054-FRI-0
WENSS-WNB1232,6+44-12+35+8+44+33+23-0,018-0,018-FRI-0
WENSS-WNB1232,9+46-12+35+21+45+54+46-0,02-0,0096-FRI-0
