WENSS-WNB1222,0+46-12+24+29+46+8+11-0,047-0,00414-FRI-0
WENSS-WNB1222,0+46-12+24+31+46+22+45-0,026-0,00406-FRI-0
WENSS-WNB1222,1+44-12+24+35+44+33+12-0,124-0,013-FRI-0
WENSS-WNB1222,1+44-12+24+35+44+11+6-0,107-0,00565-FRI-0
WENSS-WNB1222,2+46-12+24+40+45+55+19-0,081-0,064-FRI-0
WENSS-WNB1222,2+44-12+24+43+44+24+38-0,025-0,0074-FRI-0
WENSS-WNB1222,3+45-12+24+45+45+27+5-0,013-0,00293-FRI-0
WENSS-WNB1222,6+45-12+25+7+45+30+47-0,017-0,0088-FRI-0
WENSS-WNB1222,6+45-12+25+7+45+5+23-0,021-0,00701-FRI-0
WENSS-WNB1222,7+45-12+25+12+45+23+28-0,369-0,09592-FRI-0
WENSS-WNB1222,7+45-12+25+12+45+42+12-0,07-0,07-FRI-0
WENSS-WNB1222,8+46-12+25+16+46+22+9-0,063-0,063-FRI-0
WENSS-WNB1222,8+46-12+25+21+45+58+16-0,042-0,0219-FRI-0
WENSS-WNB1222,9+45-12+25+24+45+15+4-1,294-0,19755-FRI-0
WENSS-WNB1223,0+45-12+25+29+45+31+31-0,169-0,03012-FRI-0
WENSS-WNB1223,1+46-12+25+33+46+3+57-0,048-0,003-FRI-0
WENSS-WNB1223,1+44-12+25+34+44+25+20-0,023-0,0048-FRI-0
WENSS-WNB1223,1+45-12+25+35+45+41+1-0,038-0,038-FRI-0
WENSS-WNB1223,1+45-12+25+37+44+48+38-0,106-0,00601-FRI-0
WENSS-WNB1223,4+45-12+25+54+44+56+21-1,521-0,23819-FRI-0
WENSS-WNB1223,4+45-12+25+56+45+38+50-0,066-0,0161-FRI-0
WENSS-WNB1223,5+46-12+26+0+45+51+53-0,377-0,08216-FRI-0
WENSS-WNB1223,7+45-12+26+8+44+55+20-0,021-0,021-FRI-0
WENSS-WNB1223,7+46-12+26+9+45+58+55-0,091-0,0276-FRI-0
WENSS-WNB1223,9+45-12+26+20+45+37+27-0,015-0,006-FRI-0
WENSS-WNB1224,0+45-12+26+28+45+4+14-0,028-0,008062-FRI-0
WENSS-WNB1224,0+46-12+26+31+45+57+46-0,041-0,00538-FRI-0
WENSS-WNB1224,2+46-12+26+43+46+16+31-0,046-0,02-FRI-0
WENSS-WNB1224,2+45-12+26+43+44+51+22-0,044-0,010686-FRI-0
WENSS-WNB1224,2+45-12+26+43+45+31+54-0,036-0,036-FRI-0
WENSS-WNB1224,4+45-12+26+50+45+41+5-0,015-0,015-FRI-0
WENSS-WNB1224,4+44-12+26+51+43+43+27-0,017-0,0444-FRI-0
WENSS-WNB1224,4+44-12+26+55+44+5+6-0,078-0,00407-FRI-0
WENSS-WNB1224,5+43-12+26+57+43+40+56-0,218-0,175-FRI-0
WENSS-WNB1224,5+44-12+26+59+44+14+37-0,039-0,039-FRI-0
WENSS-WNB1224,7+44-12+27+10+44+7+38-0,121-0,01519-FRI-0
WENSS-WNB1224,8+44-12+27+19+43+58+11-0,08-0,0284-FRI-0
WENSS-WNB1224,9+46-12+27+20+45+43+36-0,023-0,00103-FRI-0
WENSS-WNB1225,0+44-12+27+32+44+21+28-0,059-0,0281-FRI-0
WENSS-WNB1225,1+45-12+27+34+44+58+31-0,328-0,09619-FRI-0
WENSS-WNB1225,2+44-12+27+42+44+0+38-1,211-1,68-FRI-0
WENSS-WNB1225,2+45-12+27+43+45+4+55-0,076-0,02151-FRI-0
WENSS-WNB1225,4+44-12+27+56+43+59+56-0,046-0,0126-FRI-0
WENSS-WNB1225,5+46-12+27+57+45+55+1-0,039-0,039-FRI-0
WENSS-WNB1225,5+44-12+28+1+43+50+59-0,032-0,0101-FRI-0
WENSS-WNB1225,7+45-12+28+10+44+46+6-0,043-0,01042-FRI-0
WENSS-WNB1225,7+44-12+28+11+44+6+58-0,075-0,0324-FRI-0
WENSS-WNB1225,7+44-12+28+11+44+5+32-0,163-0,0499-FRI-0
WENSS-WNB1225,8+46-12+28+16+46+20+6-0,078-0,018-FRI-0
WENSS-WNB1226,2+46-12+28+37+46+2+28-0,062-0,011-FRI-0
WENSS-WNB1226,4+45-12+28+50+44+47+18-0,947-0,2383-FRI-0
WENSS-WNB1226,5+44-12+28+56+44+20+26-0,145-0,145-FRI-0
WENSS-WNB1226,6+45-12+29+2+45+10+7-0,013-0,007-FRI-0
WENSS-WNB1226,8+46-12+29+18+46+9+57-0,03-0,007-FRI-0
WENSS-WNB1226,9+46-12+29+20+46+19+39-0,02-0,0054-FRI-0
WENSS-WNB1226,9+44-12+29+20+44+28+50-0,085-0,01521-FRI-0
WENSS-WNB1227,0+44-12+29+29+44+38+11-0,053-0,009-FRI-0
WENSS-WNB1227,0+45-12+29+30+45+37+27-0,019-0,019-FRI-0
WENSS-WNB1227,1+44-12+29+33+44+26+33-0,051-0,0143-FRI-0
WENSS-WNB1227,0+44-12+29+34+44+39+4-0,019-0,01012-FRI-0
WENSS-WNB1227,1+45-12+29+36+45+33+12-0,057-0,0146-FRI-0
