WENSS|WNB1016,0+32|10+18+55+32+25+41|0,017|0,017|Unchecked|0
WENSS|WNB1016,0+37|10+18+56+36+56+35|0,071|0,0257|Unchecked|0
WENSS|WNB1016,0+33|10+18+58+33+10+54|0,017|0,00461|Unchecked|0
WENSS|WNB1016,0+34|10+18+58+34+20+56|0,05|0,0214|Unchecked|0
WENSS|WNB1016,1+32|10+19+1+32+38+54|0,019|0,0095|Unchecked|0
WENSS|WNB1016,1+35|10+19+1+35+1+18|0,093|0,0292|Unchecked|0
WENSS|WNB1016,1+36|10+19+2+35+59+4|0,044|0,00435|Unchecked|0
WENSS|WNB1016,1+36|10+19+6+36+30+4|0,017|0,00272|Unchecked|0
WENSS|WNB1016,2+34|10+19+8+34+40+22|0,017|0,0068|Unchecked|0
WENSS|WNB1016,2+33|10+19+9+33+44+12|0,43|0,1092|Unchecked|0
WENSS|WNB1016,3+34|10+19+17+33+52+29|0,068|0,0212|Unchecked|0
WENSS|WNB1016,4+32|10+19+19+32+41+47|1,893|0,6307|Unchecked|0
WENSS|WNB1016,4+37|10+19+23+37+33+7|0,023|0,011|Unchecked|0
WENSS|WNB1016,5+36|10+19+25+35+59+23|0,073|0,0185|Unchecked|0
WENSS|WNB1016,5+33|10+19+28+33+38+0|0,014|0,00395|Unchecked|0
WENSS|WNB1016,7+34|10+19+35+34+12+51|0,024|0,024|Unchecked|0
WENSS|WNB1016,7+35|10+19+36+35+10+14|0,122|0,122|Unchecked|0
WENSS|WNB1016,7+37|10+19+38+37+36+8|0,019|0,019|Unchecked|0
WENSS|WNB1016,8+32|10+19+40+32+27+8|0,068|0,0088|Unchecked|0
WENSS|WNB1016,8+34|10+19+42+34+43+13|0,063|0,063|Unchecked|0
WENSS|WNB1016,8+36|10+19+45+36+36+8|0,02|0,02|Unchecked|0
WENSS|WNB1016,8+36|10+19+46+36+4+57|0,039|0,00928|Unchecked|0
WENSS|WNB1016,8+36|10+19+47+35+53+53|0,018|0,0062|Unchecked|0
WENSS|WNB1016,8+36|10+19+48+36+8+18|0,015|0,002132|Unchecked|0
WENSS|WNB1016,9+37|10+19+49+37+15+34|0,07|0,02117|Unchecked|0
WENSS|WNB1016,9+34|10+19+49+33+50+42|0,054|0,01592|Unchecked|0
WENSS|WNB1016,9+35|10+19+52+34+55+59|0,097|0,0293|Unchecked|0
WENSS|WNB1016,9+36|10+19+53+36+22+45|1,519|0,03823|Unchecked|0
WENSS|WNB1017,0+35|10+19+56+35+6+25|0,027|0,0086|Unchecked|0
WENSS|WNB1017,0+35|10+19+56+35+21+45|0,062|0,0239|Unchecked|0
WENSS|WNB1017,0+33|10+19+57+33+9+41|0,486|0,1479|Unchecked|0
WENSS|WNB1017,0+38|10+20+0+37+45+5|0,02|0,02|Unchecked|0
WENSS|WNB1017,1+33|10+20+0+33+34+0|0,022|0,007|Unchecked|0
WENSS|WNB1017,2+34|10+20+5+34+21+19|0,59|0,116867|Unchecked|0
WENSS|WNB1017,2+37|10+20+10+37+22+46|0,025|0,012|Unchecked|0
WENSS|WNB1017,3+35|10+20+12+35+20+15|0,016|0,00717|Unchecked|0
WENSS|WNB1017,3+36|10+20+14+36+41+16|0,09|0,040471|Unchecked|0
WENSS|WNB1017,5+37|10+20+25+37+16+5|0,03|0,03|Unchecked|0
WENSS|WNB1017,6+36|10+20+33+35+47+34|0,078|0,078|Unchecked|0
WENSS|WNB1017,7+37|10+20+39+36+57+2|1,506|0,3814|Unchecked|0
WENSS|WNB1017,8+33|10+20+40+33+16+40|0,096|0,096|Unchecked|0
WENSS|WNB1017,8+35|10+20+43+35+40+9|0,059|0,059|Unchecked|0
WENSS|WNB1017,8+34|10+20+45+34+18+36|0,023|0,0147|Unchecked|0
WENSS|WNB1017,9+35|10+20+50+34+49+21|0,019|0,0131|Unchecked|0
WENSS|WNB1017,9+35|10+20+51+35+11+5|0,164|0,053|Unchecked|0
WENSS|WNB1017,9+33|10+20+51+33+1+12|0,046|0,0161|Unchecked|0
WENSS|WNB1018,0+32|10+20+52+32+35+14|0,446|0,1485|Unchecked|0
WENSS|WNB1017,9+37|10+20+52+37+5+24|0,026|0,0089|Unchecked|0
WENSS|WNB1017,9+36|10+20+53+35+54+36|0,027|0,0152|Unchecked|0
WENSS|WNB1018,0+32|10+20+55+32+26+34|0,012|0,0087|Unchecked|0
WENSS|WNB1018,2+33|10+21+4+32+46+47|0,012|0,0052|Unchecked|0
WENSS|WNB1018,2+35|10+21+8+34+56+33|0,029|0,0076|Unchecked|0
WENSS|WNB1018,2+35|10+21+9+35+36+26|0,115|0,01759|Unchecked|0
WENSS|WNB1018,2+34|10+21+10+33+58+23|0,086|0,0262|Unchecked|0
WENSS|WNB1018,3+33|10+21+12+33+30+35|0,023|0,023|Unchecked|0
WENSS|WNB1018,3+37|10+21+12+37+13+52|0,369|0,369|Unchecked|0
WENSS|WNB1018,3+33|10+21+15+33+6+3|0,015|0,0072|Unchecked|0
WENSS|WNB1018,3+37|10+21+15+37+14+47|0,873|0,1596|Unchecked|0
WENSS|WNB1018,4+34|10+21+17+34+37+22|0,724|0,457|Unchecked|0
WENSS|WNB1018,4+36|10+21+18+36+13+20|0,511|0,04754|Unchecked|0
WENSS|WNB1018,4+37|10+21+24+36+46+51|0,03|0,00188|Unchecked|0
WENSS|WNB1018,5+37|10+21+26+37+1+2|0,018|0,0071|Unchecked|0
WENSS|WNB1018,5+36|10+21+29+36+27+12|0,04|0,0132|Unchecked|0
WENSS|WNB1018,7+32|10+21+39+32+27+36|1,254|0,1122|Unchecked|0
WENSS|WNB1018,8+33|10+21+41+33+7+25|0,058|0,013667|Unchecked|0
WENSS|WNB1018,8+34|10+21+44+34+26+12|0,052|0,052|Unchecked|0
